날짜,관광지명,관광객수
2009.06,한라산국립공원,85734
2009.06,한림공원,79460
2009.06,항몽 유적지,12209
2009.06,해녀 박물관,14855
2009.06,감귤박물관,6106
2009.06,기당미술관,329
2009.06,마라해양도립공원,34062
2009.06,박물관은살아있다,0
2009.06,산방산,70325
2009.06,서귀포도립해양공원,29729
2009.06,서귀포자연휴양림,9469
2009.06,서복전시관,0
2009.06,성산일출봉,118458
2009.06,소리섬박물관,0
2009.06,소인국테마파크,64695
2009.06,신영영화박물관,7453
2009.06,아프리카박물관,8053
2009.06,여미지식물원,49543
2009.06,이중섭미술관,5476
2009.06,익스트림 아일랜드,0
2009.06,일출랜드,57847
2009.06,정방폭포,37480
2009.06,제주민속촌박물관,41321
2009.06,제주조각공원,2526
2009.06,제주추사관,0
2009.06,중문주상절리대,106057
2009.06,천제연폭포,36021
2009.06,천지연폭포,120571
2009.06,카멜리아힐,0
2009.06,테디베어뮤지엄,40318
2009.06,퍼시픽랜드,38205
2009.06,아쿠아플라넷,0
2009.06,화락원,0
2009.07,(주)제주미니미니랜드,25442
2009.07,국립제주박물관,18991
2009.07,도립미술관,0
2009.07,만장굴관광지,58325
2009.07,목석원,0
2009.07,민속자연사박물관,55089
2009.07,비자림,12773
2009.07,산굼부리,32304
2009.07,삼성혈,7150
2009.07,삼양선사유적지,5678
2009.07,생각하는 정원,13988
2009.07,절물자연휴양림,43726
2009.07,제주도립 김창열미술관,0
2009.07,제주돌문화공원,11177
2009.07,제주러브랜드,34677
2009.07,제주목관아지,12570
2009.07,제주별빛누리공원,0
2009.07,제주항일기념관,4758
2009.07,한라산국립공원,59278
2009.07,한림공원,72674
2009.07,항몽 유적지,9350
2009.07,해녀 박물관,10393
2009.07,감귤박물관,7223
2009.07,기당미술관,564
2009.07,마라해양도립공원,29093
2009.07,박물관은살아있다,0
2009.07,산방산,32144
2009.07,서귀포도립해양공원,31126
2009.07,서귀포자연휴양림,14866
2009.07,서복전시관,0
2009.07,성산일출봉,82765
2009.07,소리섬박물관,0
2009.07,소인국테마파크,61826
2009.07,신영영화박물관,7704
2009.07,아프리카박물관,12914
2009.07,여미지식물원,55412
2009.07,이중섭미술관,10347
2009.07,익스트림 아일랜드,0
2009.07,일출랜드,32753
2009.07,정방폭포,41925
2009.07,제주민속촌박물관,31705
2009.07,제주조각공원,2237
2009.07,제주추사관,0
2009.07,중문주상절리대,90616
2009.07,천제연폭포,44181
2009.07,천지연폭포,95174
2009.07,카멜리아힐,0
2009.07,테디베어뮤지엄,64016
2009.07,퍼시픽랜드,41553
2009.07,아쿠아플라넷,0
2009.07,화락원,0
2009.08,(주)제주미니미니랜드,34349
2009.08,국립제주박물관,39810
2009.08,도립미술관,0
2009.08,만장굴관광지,89100
2009.08,목석원,0
2009.08,민속자연사박물관,66273
2009.08,비자림,18118
2009.08,산굼부리,41889
2009.08,삼성혈,10778
2009.08,삼양선사유적지,6501
2009.08,생각하는 정원,18807
2009.08,절물자연휴양림,52635
2009.08,제주도립 김창열미술관,0
2009.08,제주돌문화공원,11378
2009.08,제주러브랜드,47022
2009.08,제주목관아지,9576
2009.08,제주별빛누리공원,0
2009.08,제주항일기념관,6299
2009.08,한라산국립공원,79742
2009.08,한림공원,113367
2009.08,항몽 유적지,8922
2009.08,해녀 박물관,11809
2009.08,감귤박물관,9068
2009.08,기당미술관,785
2009.08,마라해양도립공원,39462
2009.08,박물관은살아있다,0
2009.08,산방산,44300
2009.08,서귀포도립해양공원,41419
2009.08,서귀포자연휴양림,28597
2009.08,서복전시관,3699
2009.08,성산일출봉,134795
2009.08,소리섬박물관,0
2009.08,소인국테마파크,87532
2009.08,신영영화박물관,12126
2009.08,아프리카박물관,20702
2009.08,여미지식물원,73923
2009.08,이중섭미술관,16073
2009.08,익스트림 아일랜드,0
2009.08,일출랜드,48897
2009.08,정방폭포,74009
2009.08,제주민속촌박물관,55307
2009.08,제주조각공원,3042
2009.08,제주추사관,0
2009.08,중문주상절리대,139807
2009.08,천제연폭포,151494
2009.08,천지연폭포,158901
2009.08,카멜리아힐,0
2009.08,테디베어뮤지엄,96414
2009.08,퍼시픽랜드,64651
2009.08,아쿠아플라넷,0
2009.08,화락원,0
2009.09,(주)제주미니미니랜드,12916
2009.09,국립제주박물관,10044
2009.09,도립미술관,0
2009.09,만장굴관광지,31862
2009.09,목석원,0
2009.09,민속자연사박물관,46281
2009.09,비자림,10998
2009.09,산굼부리,31512
2009.09,삼성혈,5273
2009.09,삼양선사유적지,4355
2009.09,생각하는 정원,10620
2009.09,절물자연휴양림,37368
2009.09,제주도립 김창열미술관,0
2009.09,제주돌문화공원,9943
2009.09,제주러브랜드,32933
2009.09,제주목관아지,10595
2009.09,제주별빛누리공원,0
2009.09,제주항일기념관,3438
2009.09,한라산국립공원,58270
2009.09,한림공원,51693
2009.09,항몽 유적지,7491
2009.09,해녀 박물관,7267
2009.09,감귤박물관,4659
2009.09,기당미술관,563
2009.09,마라해양도립공원,28112
2009.09,박물관은살아있다,0
2009.09,산방산,30324
2009.09,서귀포도립해양공원,23145
2009.09,서귀포자연휴양림,9032
2009.09,서복전시관,1822
2009.09,성산일출봉,82278
2009.09,소리섬박물관,0
2009.09,소인국테마파크,36799
2009.09,신영영화박물관,5143
2009.09,아프리카박물관,5627
2009.09,여미지식물원,31675
2009.09,이중섭미술관,6697
2009.09,익스트림 아일랜드,0
2009.09,일출랜드,29243
2009.09,정방폭포,29864
2009.09,제주민속촌박물관,27690
2009.09,제주조각공원,1708
2009.09,제주추사관,0
2009.09,중문주상절리대,73115
2009.09,천제연폭포,30678
2009.09,천지연폭포,81922
2009.09,카멜리아힐,0
2009.09,테디베어뮤지엄,37605
2009.09,퍼시픽랜드,23010
2009.09,아쿠아플라넷,0
2009.09,화락원,0
2009.1,(주)제주미니미니랜드,18914
2009.1,국립제주박물관,13208
2009.1,도립미술관,0
2009.1,만장굴관광지,33028
2009.1,목석원,0
2009.1,민속자연사박물관,43755
2009.1,비자림,13750
2009.1,산굼부리,68472
2009.1,삼성혈,5456
2009.1,삼양선사유적지,5185
2009.1,생각하는 정원,15259
2009.1,절물자연휴양림,56319
2009.1,제주도립 김창열미술관,0
2009.1,제주돌문화공원,14987
2009.1,제주러브랜드,41025
2009.1,제주목관아지,8544
2009.1,제주별빛누리공원,0
2009.1,제주항일기념관,3936
2009.1,한라산국립공원,121464
2009.1,한림공원,60933
2009.1,항몽 유적지,8089
2009.1,해녀 박물관,16552
2009.1,감귤박물관,4674
2009.1,기당미술관,958
2009.1,마라해양도립공원,34592
2009.1,박물관은살아있다,0
2009.1,산방산,39631
2009.1,서귀포도립해양공원,21132
2009.1,서귀포자연휴양림,11046
2009.1,서복전시관,2528
2009.1,성산일출봉,93787
2009.1,소리섬박물관,0
2009.1,소인국테마파크,42653
2009.1,신영영화박물관,5926
2009.1,아프리카박물관,6842
2009.1,여미지식물원,42727
2009.1,이중섭미술관,6836
2009.1,익스트림 아일랜드,0
2009.1,일출랜드,37068
2009.1,정방폭포,31286
2009.1,제주민속촌박물관,28594
2009.1,제주조각공원,2139
2009.1,제주추사관,0
2009.1,중문주상절리대,83799
2009.1,천제연폭포,35211
2009.1,천지연폭포,95469
2009.1,카멜리아힐,0
2009.1,테디베어뮤지엄,36466
2009.1,퍼시픽랜드,27703
2009.1,아쿠아플라넷,0
2009.1,화락원,0
2009.11,(주)제주미니미니랜드,12973
2009.11,국립제주박물관,17902
2009.11,도립미술관,0
2009.11,만장굴관광지,23349
2009.11,목석원,0
2009.11,민속자연사박물관,39361
2009.11,비자림,10519
2009.11,산굼부리,55323
2009.11,삼성혈,4378
2009.11,삼양선사유적지,2627
2009.11,생각하는 정원,12123
2009.11,절물자연휴양림,36825
2009.11,제주도립 김창열미술관,0
2009.11,제주돌문화공원,15520
2009.11,제주러브랜드,44129
2009.11,제주목관아지,6876
2009.11,제주별빛누리공원,0
2009.11,제주항일기념관,7365
2009.11,한라산국립공원,78869
2009.11,한림공원,43876
2009.11,항몽 유적지,5581
2009.11,해녀 박물관,18089
2009.11,감귤박물관,5156
2009.11,기당미술관,692
2009.11,마라해양도립공원,25715
2009.11,박물관은살아있다,0
2009.11,산방산,30930
2009.11,서귀포도립해양공원,25785
2009.11,서귀포자연휴양림,5133
2009.11,서복전시관,1745
2009.11,성산일출봉,88121
2009.11,소리섬박물관,0
2009.11,소인국테마파크,35153
2009.11,신영영화박물관,4609
2009.11,아프리카박물관,7100
2009.11,여미지식물원,42691
2009.11,이중섭미술관,6276
2009.11,익스트림 아일랜드,0
2009.11,일출랜드,31805
2009.11,정방폭포,20876
2009.11,제주민속촌박물관,20852
2009.11,제주조각공원,1604
2009.11,제주추사관,0
2009.11,중문주상절리대,77197
2009.11,천제연폭포,25682
2009.11,천지연폭포,67731
2009.11,카멜리아힐,0
2009.11,테디베어뮤지엄,31341
2009.11,퍼시픽랜드,23108
2009.11,아쿠아플라넷,0
2009.11,화락원,0
2009.12,(주)제주미니미니랜드,14202
2009.12,국립제주박물관,18296
2009.12,도립미술관,0
2009.12,만장굴관광지,31385
2009.12,목석원,0
2009.12,민속자연사박물관,42013
2009.12,비자림,6385
2009.12,산굼부리,33705
2009.12,삼성혈,4741
2009.12,삼양선사유적지,800
2009.12,생각하는 정원,9904
2009.12,절물자연휴양림,20474
2009.12,제주도립 김창열미술관,0
2009.12,제주돌문화공원,7810
2009.12,제주러브랜드,36675
2009.12,제주목관아지,4506
2009.12,제주별빛누리공원,0
2009.12,제주항일기념관,5522
2009.12,한라산국립공원,49203
2009.12,한림공원,45248
2009.12,항몽 유적지,6705
2009.12,해녀 박물관,20660
2009.12,감귤박물관,6241
2009.12,기당미술관,425
2009.12,마라해양도립공원,13883
2009.12,박물관은살아있다,0
2009.12,산방산,37328
2009.12,서귀포도립해양공원,13717
2009.12,서귀포자연휴양림,4599
2009.12,서복전시관,2002
2009.12,성산일출봉,98113
2009.12,소리섬박물관,0
2009.12,소인국테마파크,39225
2009.12,신영영화박물관,5534
2009.12,아프리카박물관,8608
2009.12,여미지식물원,51618
2009.12,이중섭미술관,8061
2009.12,익스트림 아일랜드,0
2009.12,일출랜드,31826
2009.12,정방폭포,22817
2009.12,제주민속촌박물관,23765
2009.12,제주조각공원,1931
2009.12,제주추사관,0
2009.12,중문주상절리대,91734
2009.12,천제연폭포,22912
2009.12,천지연폭포,68452
2009.12,카멜리아힐,0
2009.12,테디베어뮤지엄,58095
2009.12,퍼시픽랜드,26229
2009.12,아쿠아플라넷,0
2009.12,화락원,0
2010.01,(주)제주미니미니랜드,13403
2010.01,국립제주박물관,14798
2010.01,도립미술관,0
2010.01,만장굴관광지,36635
2010.01,목석원,0
2010.01,민속자연사박물관,41680
2010.01,비자림,6129
2010.01,산굼부리,28433
2010.01,삼성혈,6019
2010.01,삼양선사유적지,1465
2010.01,생각하는 정원,10305
2010.01,절물자연휴양림,23960
2010.01,제주도립 김창열미술관,0
2010.01,제주돌문화공원,7713
2010.01,제주러브랜드,49569
2010.01,제주목관아지,4736
2010.01,제주별빛누리공원,2628
2010.01,제주항일기념관,3635
2010.01,한라산국립공원,116814
2010.01,한림공원,47826
2010.01,항몽 유적지,6324
2010.01,해녀 박물관,11137
2010.01,감귤박물관,5915
2010.01,기당미술관,466
2010.01,마라해양도립공원,46058
2010.01,박물관은살아있다,0
2010.01,산방산,40360
2010.01,서귀포도립해양공원,39611
2010.01,서귀포자연휴양림,4161
2010.01,서복전시관,1821
