,상호,주소,위도,경도
37,(주)서홍주유소,제주특별자치도 서귀포시 중산간동로 8102,33.263,126.551
38,삼화석유㈜ 법환주유소,제주특별자치도 서귀포시 일주동로 9173,33.247,126.551
39,환영주유소,제주특별자치도 서귀포시 중산간동로 7862,33.266,126.576
40,한신주유소,제주특별자치도 서귀포시 천제연로 77,33.255,126.413
41,대포주유소,제주특별자치도 서귀포시 일주서로 559,33.252,126.449
42,희진주유소,제주특별자치도 서귀포시 성산읍 일주동로 5160,33.376,126.873
43,삼남석유㈜ 해맞이주유소,제주특별자치도 서귀포시 성산읍 일주동로 4501,33.427,126.907
44,효돈농협주유소,제주특별자치도 서귀포시 일주동로 8163,33.260,126.615
45,신례주유소,제주특별자치도 서귀포시 남원읍 중산간동로 7097,33.284,126.633
46,모슬포행운주유소,제주특별자치도 서귀포시 대정읍 일주서로 2419,33.235,126.267
47,반석주유소,제주특별자치도 서귀포시 대정읍 대한로88번길 155,33.229,126.260
48,효돈주유소,제주특별자치도 서귀포시 일주동로 8314,33.260,126.599
49,예래주유소,제주특별자치도 서귀포시 일주서로 1156-2,33.264,126.389
50,염돈주유소,제주특별자치도 서귀포시 일주서로 136,33.250,126.493
51,자유에너지(주)가든주유소,제주특별자치도 서귀포시 중산간동로 8338,33.261,126.526
52,서귀포농협서부주유소,제주특별자치도 서귀포시 태평로 22,33.245,126.525
53,한진주유소,제주특별자치도 서귀포시 중산간동로 8028,33.264,126.558
54,토평주유소(주),제주특별자치도 서귀포시 중산간동로 7801,33.266,126.582
55,난산입구주유소,제주특별자치도 서귀포시 성산읍 일주동로 5058,33.384,126.879
56,중문주유소,제주특별자치도 서귀포시 천제연로 246,33.251,126.430
57,남원주유소,제주특별자치도 서귀포시 남원읍 태위로 710,33.279,126.722
58,표선농협주유소,제주특별자치도 서귀포시 표선면 표선동서로 229,33.324,126.831
59,현대오일뱅크(주)직영 동남주유소,제주특별자치도 서귀포시 성산읍 고성오조로 35,33.446,126.914
60,오성주유소,제주특별자치도 서귀포시 성산읍 고성오조로 113,33.453,126.913
61,칠십리주유소,제주특별자치도 서귀포시 중정로 40,33.247,126.560
62,에이스주유소,제주특별자치도 서귀포시 일주동로 8513,33.254,126.578
63,산방주유소,제주특별자치도 서귀포시 대정읍 신영로 34,33.222,126.247
64,삼남석유(주)가까운주유소,제주특별자치도 서귀포시 일주서로 1080,33.263,126.397
65,(주)무수천주유소 ,제주특별자치도 제주시 노형로 45 ,33.463,126.451
66,㈜새신테크 이호주유소 ,제주특별자치도 제주시 일주서로 7629 ,33.495,126.461
67,(주)회천주유소 ,제주특별자치도 제주시 번영로 937 ,33.475,126.636
68,거북이주유소 ,제주특별자치도 제주시 서광로 58 ,33.499,126.502
69,고산주유소 ,제주특별자치도 제주시 한경면 고산로 5 ,33.301,126.179
70,공단주유소 ,제주특별자치도 제주시 연삼로 727 ,33.511,126.563
71,광동주유소 ,제주특별자치도 제주시 일주서로 7832 ,33.493,126.483
72,구도일주유소 한라 ,제주특별자치도 제주시 애월읍 평화로 2692 ,33.445,126.434
73,구좌농협우도주유소 ,제주특별자치도 제주시 우도면 우도로 147 ,33.505,126.953
74,구좌농협주유센터 ,제주특별자치도 제주시 구좌읍 일주동로 3190 ,33.518,126.858
75,구좌주유소 ,제주특별자치도 제주시 구좌읍 일주동로 3243 ,33.518,126.864
76,굿모닝주유소 ,제주특별자치도 제주시 연삼로 135 ,33.493,126.507
77,귀일주유소 ,제주특별자치도 제주시 애월읍 하귀로 22 ,33.479,126.399
78,극동주유소 ,제주특별자치도 제주시 서광로27길 2 ,33.500,126.525
79,삼화엔크린주유소 ,제주특별자치도 제주시 일주서로 7650 ,33.494,126.463
80,금성주유소 ,제주특별자치도 제주시 애월읍 일주서로 5940 ,33.444,126.300
81,금악주유소 ,제주특별자치도 제주시 한림읍 한창로 1249 ,33.353,126.298
82,남동주유소 ,제주특별자치도 제주시 남광로 78 ,33.495,126.543
83,남문주유소 ,제주특별자치도 제주시 중앙로 372 ,33.488,126.538
84,남조로주유소 ,제주특별자치도 제주시 조천읍 남조로 1766 ,33.425,126.675
85,남흥주유소 ,제주특별자치도 제주시 애월읍 평화로 2820-34 ,33.456,126.444
86,내고향주유소 ,제주특별자치도 제주시 애월읍 애월로 79 ,33.464,126.315
87,내트럭㈜제주사업소 ,제주특별자치도 제주시 번영로 345 ,33.498,126.580
88,노형주유소 ,제주특별자치도 제주시 1100로 3338 ,33.484,126.480
89,늘푸른주유소 ,제주특별자치도 제주시 서광로 99 ,33.500,126.507
90,대섬주유소 ,제주특별자치도 제주시 조천읍 신북로 111 ,33.535,126.625
91,대은주유소 ,제주특별자치도 제주시 번영로 112 ,33.506,126.558
92,한수풀주유소,제주특별자치도 제주시 한림읍 일주서로 5354 ,33.406,126.271
93,대천주유소 ,제주특별자치도 제주시 구좌읍 비자림로 1219 ,33.435,126.735
94,도남주유소 ,제주특별자치도 제주시 연삼로 328  ,33.491,126.527
95,도농주유소 ,제주특별자치도 제주시 일주서로 7410 ,33.493,126.438
96,도련주유소 ,제주특별자치도 제주시 연삼로 874 ,33.511,126.579
97,도평주유소 ,제주특별자치도 제주시 우평로 197 ,33.481,126.445
98,동귀주유소 ,제주특별자치도 제주시 애월읍 일주서로 7092 ,33.483,126.407
99,외도주유소(동방주유소) ,제주특별자치도 제주시 일주서로 7277  ,33.492,126.424
