상호,위도,경도,주소_4
신례주유소,33.284,126.633,제주특별자치도 서귀포시 남원읍
모슬포행운주유소,33.235,126.267,제주특별자치도 서귀포시 대정읍
반석주유소,33.229,126.26,제주특별자치도 서귀포시 대정읍
효돈주유소,33.26,126.599,제주특별자치도 서귀포시
예래주유소,33.264,126.389,제주특별자치도 서귀포시
염돈주유소,33.25,126.493,제주특별자치도 서귀포시
자유에너지(주)가든주유소,33.261,126.526,제주특별자치도 서귀포시
서귀포농협서부주유소,33.245,126.525,제주특별자치도 서귀포시
한진주유소,33.264,126.558,제주특별자치도 서귀포시
토평주유소(주),33.266,126.582,제주특별자치도 서귀포시
난산입구주유소,33.384,126.879,제주특별자치도 서귀포시 성산읍
중문주유소,33.251,126.43,제주특별자치도 서귀포시
남원주유소,33.279,126.722,제주특별자치도 서귀포시 남원읍
표선농협주유소,33.324,126.831,제주특별자치도 서귀포시 표선면
현대오일뱅크(주)직영 동남주유소,33.446,126.914,제주특별자치도 서귀포시 성산읍
오성주유소,33.453,126.913,제주특별자치도 서귀포시 성산읍
칠십리주유소,33.247,126.56,제주특별자치도 서귀포시
에이스주유소,33.254,126.578,제주특별자치도 서귀포시
산방주유소,33.222,126.247,제주특별자치도 서귀포시 대정읍
삼남석유(주)가까운주유소,33.263,126.397,제주특별자치도 서귀포시
(주)무수천주유소 ,33.463,126.451,제주특별자치도 제주시
㈜새신테크 이호주유소 ,33.495,126.461,제주특별자치도 제주시
(주)회천주유소 ,33.475,126.636,제주특별자치도 제주시
거북이주유소 ,33.499,126.502,제주특별자치도 제주시
고산주유소 ,33.301,126.179,제주특별자치도 제주시 한경면
공단주유소 ,33.511,126.563,제주특별자치도 제주시
광동주유소 ,33.493,126.483,제주특별자치도 제주시
구도일주유소 한라 ,33.445,126.434,제주특별자치도 제주시 애월읍
구좌농협우도주유소 ,33.505,126.953,제주특별자치도 제주시 우도면
구좌농협주유센터 ,33.518,126.858,제주특별자치도 제주시 구좌읍
구좌주유소 ,33.518,126.864,제주특별자치도 제주시 구좌읍
굿모닝주유소 ,33.493,126.507,제주특별자치도 제주시
귀일주유소 ,33.479,126.399,제주특별자치도 제주시 애월읍
극동주유소 ,33.5,126.525,제주특별자치도 제주시
삼화엔크린주유소 ,33.494,126.463,제주특별자치도 제주시
금성주유소 ,33.444,126.3,제주특별자치도 제주시 애월읍
금악주유소 ,33.353,126.298,제주특별자치도 제주시 한림읍
남동주유소 ,33.495,126.543,제주특별자치도 제주시
남문주유소 ,33.488,126.538,제주특별자치도 제주시
남조로주유소 ,33.425,126.675,제주특별자치도 제주시 조천읍
남흥주유소 ,33.456,126.444,제주특별자치도 제주시 애월읍
내고향주유소 ,33.464,126.315,제주특별자치도 제주시 애월읍
