lng_x,lat_x,관광지명,분류,합산 검색 수,내국인 관광객수,외국인 관광객수,소재지
126.370,33.300,뽀로로타요테마파크제주,테마공원,44824.0,,,제주특별자치도 서귀포시
126.841,33.322,제주민속촌,역사유적지,26740.0,,,제주특별자치도 서귀포시
126.628,33.436,제주절물자연휴양림,자연공원,35911.0,,,제주특별자치도 제주시
126.703,33.273,남원큰엉,,,,,제주특별자치도 서귀포시
126.801,33.487,메이즈랜드,관광/숙박,,,,제주특별자치도 제주시 구좌읍
126.634,33.309,휴애리자연생활공원,도시공원,37391.0,,,제주특별자치도 서귀포시 남원읍
126.521,33.517,이마트제주점,대형마트,52756.0,,,제주특별자치도 제주시
126.271,33.285,제주곶자왈도립공원,,,,,제주특별자치도 서귀포시
126.492,33.469,한라수목원,자연공원,29505.0,,,제주특별자치도 제주시
126.743,33.424,제주워터서커스,,,,,제주특별자치도 제주시
126.967,33.515,비양도,지명관련,,,,제주특별자치도 제주시 한림읍
126.452,33.501,이호랜드방파제등대,,,,,제주특별자치도 제주시
126.933,33.473,우도도항선선착장,교통시설,49019.0,,,제주특별자치도 서귀포시 성산읍
126.482,33.482,롯데마트제주점,대형마트,40414.0,,,제주특별자치도 제주시
126.475259,33.496817,제주민속오일시장,시장,36767.0,,,제주특별자치도 제주시
126.258119,33.209496,운진항,자연경관(하천/해양),33175.0,,,제주특별자치도 서귀포시
126.250557,33.216464,모슬포항,자연경관(하천/해양),30388.0,,,제주특별자치도 서귀포시
126.543,33.522,제주항제6부두,자연경관(하천/해양),29635.0,,,제주특별자치도 제주시
126.586868,33.526,삼양해수욕장,자연경관(하천/해양),28251.0,,,제주특별자치도 제주시
126.560,33.260,홈플러스서귀포점,대형마트,27500.0,,,제주특별자치도 서귀포시
126.528,33.480,제스코마트,대형마트,26715.0,,,제주특별자치도 제주시
126.543,33.525,제주항국제여객선터미널,교통시설,26489.0,,,제주특별자치도 제주시
126.673134,33.433587,주제주미니미니랜드,,,0.0,0.0,제주특별자치도 제주시 조천읍
126.607,33.271,감귤박물관,문화/종교/예술,,10366.0,178.75,제주특별자치도 서귀포시
126.548,33.513,국립제주박물관,문화/종교/예술,,29846.75,446.3333333333333,제주특별자치도 제주시
126.551,33.244,기당미술관,문화/종교/예술,,2184.3333333333335,4.083333333333333,제주특별자치도 서귀포시
126.489865,33.452525,도립미술관,,,10507.083333333334,59.0,제주특별자치도 제주시
126.267934,33.117889,마라해양도립공원,,,73070.25,0.0,제주특별자치도 서귀포시 대정읍
126.548,33.467,목석원,관광/숙박,,0.0,0.0,제주특별자치도 제주시
126.531,33.506,민속자연사박물관,문화/종교/예술,,25597.333333333332,7016.916666666667,제주특별자치도 제주시
126.409,33.254,박물관은살아있다,문화/종교/예술,,36079.75,2297.5833333333335,제주특별자치도 서귀포시
126.528,33.505,삼성혈,관광/숙박,,0.0,0.0,제주특별자치도 제주시
126.587638,33.523266,삼양선사유적지,,,3934.75,42.833333333333336,제주특별자치도 제주시
126.255,33.325,생각하는정원,공원/산/동.식물원,,0.0,0.0,제주특별자치도 제주시 한경면
126.558575,33.23993,서귀포도립해양공원,,,17201.25,0.0,제주특별자치도 서귀포시
126.457,33.311,서귀포자연휴양림,교통시설,,10744.75,29.75,제주특별자치도 서귀포시
126.570,33.244,서복전시관,문화/종교/예술,,2776.6666666666665,320.6666666666667,제주특별자치도 서귀포시
126.413,33.249,소리섬박물관,문화/종교/예술,,0.0,0.0,제주특별자치도 서귀포시
126.322,33.290,소인국테마파크,관광/숙박,,0.0,0.0,제주특별자치도 서귀포시 안덕면
126.704,33.274,신영영화박물관,문화/종교/예술,,0.0,0.0,제주특별자치도 서귀포시 남원읍
126.429,33.239,아프리카박물관,문화/종교/예술,,0.0,0.0,제주특별자치도 서귀포시
126.414,33.251,여미지식물원,교통시설,,0.0,0.0,제주특별자치도 서귀포시
126.564,33.245,이중섭미술관,문화/종교/예술,,17348.083333333332,57.5,제주특별자치도 서귀포시
126.507,33.246,익스트림아일랜드,관광/숙박,,0.0,0.0,제주특별자치도 서귀포시
126.842,33.381,일출랜드,관광/숙박,,17411.916666666668,1067.25,제주특별자치도 서귀포시 성산읍
126.630,33.440,절물자연휴양림,교통시설,,60812.416666666664,0.0,제주특별자치도 제주시
126.269115,33.338354,제주도립김창열미술관,,,3522.25,14.166666666666666,제주특별자치도 제주시 한경면
126.660,33.449,제주돌문화공원,공원/산/동.식물원,,18060.166666666668,662.3333333333334,제주특별자치도 제주시 조천읍
126.488,33.452,제주러브랜드,문화/종교/예술,,0.0,0.0,제주특별자치도 제주시
126.522098,33.513619,제주목관아지,,,14180.833333333334,3289.5833333333335,제주특별자치도 제주시
126.842,33.324,제주민속촌박물관,문화/종교/예술,,0.0,0.0,제주특별자치도 서귀포시 표선면
126.548,33.444,제주별빛누리공원,관광/숙박,,3284.1666666666665,19.583333333333332,제주특별자치도 제주시
126.321,33.252,제주조각공원,관광/숙박,,0.0,0.0,제주특별자치도 서귀포시 안덕면
126.278,33.250,제주추사관,관광/숙박,,7181.333333333333,19.833333333333332,제주특별자치도 서귀포시 대정읍
126.642,33.541,제주항일기념관,문화/종교/예술,,12719.666666666666,76.75,제주특별자치도 제주시 조천읍
126.412,33.250,테디베어뮤지엄,문화/종교/예술,,0.0,0.0,제주특별자치도 서귀포시
126.415,33.243,퍼시픽랜드,관광/숙박,,52274.083333333336,0.0,제주특별자치도 서귀포시
126.510,33.392,한라산국립공원,공원/산/동.식물원,,63154.666666666664,7535.25,제주특별자치도 제주시
126.408,33.452,항몽유적지,관광/숙박,,9459.916666666666,494.75,제주특별자치도 제주시 애월읍
126.863,33.523,해녀박물관,문화/종교/예술,,11304.916666666666,2149.25,제주특별자치도 제주시 구좌읍
126.578773,33.244206,화락원,,,0.0,0.0,제주특별자치도 서귀포시
