statNm,zscode,kind,kindDetail,parkingFree,limitYn,limitDetail,chgerType,useTime,lat,lng,count
대정읍 노외4주차장,50130,B0,B004,N,N,,04,24시간 이용가능,33.2234219,126.2541079,2
대정청소년수련관,50130,I0,I007,Y,N,,04,24시간 이용가능,33.2276316,126.2478827,2
효돈동주민센터 앞 주차장,50130,A0,A002,Y,N,,04,24시간 이용가능,33.2628806,126.6152364,2
교래자연휴양림,50110,G0,G002,Y,N,,04,24시간 이용가능,33.440219,126.6674067,3
제주동부경찰서,50110,I0,I004,Y,N,,04,09:00 ~ 18:00,33.5034488,126.5357945,3
서귀포경찰서,50130,I0,I004,Y,N,,04,24시간 이용가능,33.2556126,126.508454,3
돌문화공원관리소,50110,A0,A004,Y,N,,04,24시간 이용가능,33.4460887,126.664233,4
신화역사공원 J지구 공영주차장,50130,B0,B001,Y,N,,04,24시간 이용가능,33.2970261,126.3066414,4
쇠소깍 공영주차장,50130,B0,B001,Y,N,,06,24시간 이용가능,33.2538766,126.6221549,1
제주농업기술원,50130,G0,G004,Y,N,,06,24시간 이용가능,33.2610002,126.4883961,1
성산읍사무소,50130,A0,A002,Y,N,,06,24시간 이용가능,33.4419996,126.9112371,4
표선면사무소,50130,A0,A002,Y,N,,06,24시간 이용가능,33.3262639,126.8306968,1
대정하모3공영주차장,50130,B0,B001,Y,N,,06,24시간 이용가능,33.2239284,126.2526284,1
제주영어교육도시,50130,A0,A003,Y,N,,06,24시간 이용가능,33.2876507,126.2820573,1
산방산,50130,B0,B001,Y,N,,06,24시간 이용가능,33.2361,126.3118493,1
성읍민속마을,50130,D0,D003,Y,N,,06,24시간 이용가능,33.3844385,126.8011319,1
제주월드컵경기장,50130,J0,J007,Y,N,,06,24시간 이용가능,33.2474964,126.5107798,15
무릉문화의집,50130,G0,G004,Y,N,,06,24시간 이용가능,33.2732982,126.1990968,1
제주 곶자왈 도립공원입구,50130,D0,D001,Y,N,,06,24시간 이용가능,33.2829568,126.2742497,1
서귀포예술의전당,50130,J0,J004,Y,N,,06,24시간 이용가능,33.2471316,126.5495447,1
동부소방서,50130,A0,A003,Y,N,,06,24시간 이용가능,33.4600328,126.9100745,2
서귀포농업기술센터,50130,G0,G004,Y,N,,06,24시간 이용가능,33.2873591,126.6074596,3
모구리야영장,50130,G0,G002,Y,N,,06,24시간 이용가능,33.4066824,126.8203714,1
동홍동 주민센터,50130,A0,A002,Y,N,,06,24시간 이용가능,33.2578409,126.5691927,1
영천동 주민센터,50130,A0,A002,Y,N,,06,24시간 이용가능,33.2687052,126.5868363,1
서귀포자치경찰대,50130,I0,I004,Y,N,,06,24시간 이용가능,33.2448285,126.5653964,1
보목하수처리장,50130,G0,G004,Y,N,,06,24시간 이용가능,33.2428212,126.5916114,1
안덕면사무소,50130,A0,A002,Y,N,,06,24시간 이용가능,33.2575828,126.3301517,4
서귀포 자기주도학습지원센터,50130,J0,J002,Y,N,,06,24시간 이용가능,33.2510858,126.570449,1
제주도청 1청사,50110,A0,A001,Y,N,,06,24시간 이용가능,33.4890149,126.4975598,1
제주시청,50110,A0,A001,Y,N,,06,24시간 이용가능,33.500008,126.5314865,6
제주도청 제2청사,50110,A0,A001,Y,N,,06,24시간 이용가능,33.489231,126.5008617,1
구좌읍사무소,50110,A0,A002,Y,N,,06,24시간 이용가능,33.5228017,126.8523917,1
한경면체육관,50110,G0,G004,Y,N,,06,24시간 이용가능,33.3009524,126.184742,1
한라도서관,50110,I0,I005,Y,N,,06,24시간 이용가능,33.476041,126.5147605,2
거문오름,50110,D0,D007,Y,N,,06,24시간 이용가능,33.4549967,126.7116159,1
동백동산습지센터,50110,D0,D001,Y,N,,06,24시간 이용가능,33.5095629,126.7150947,1
어리목휴게소,50110,C0,C002,Y,N,,06,24시간 이용가능,33.3918158,126.494601,1
관음사지구안내소,50110,D0,D006,Y,N,,06,24시간 이용가능,33.4224014,126.550834,1
노형동주민센터,50110,A0,A002,Y,N,,06,24시간 이용가능,33.4832506,126.4773878,1
삼양동주민센터,50110,A0,A002,Y,N,,06,24시간 이용가능,33.5220189,126.5857478,2
녹고뫼안트레안내센터,50110,D0,D006,Y,N,,06,24시간 이용가능,33.4052384,126.4079166,1
외도동 주민센터,50110,A0,A002,Y,N,,06,24시간 이용가능,33.4931406,126.4323614,1
건입동 주민센터,50110,A0,A002,Y,N,,06,24시간 이용가능,33.5149833,126.5314242,1
해군호텔,50110,E0,E003,Y,N,,06,24시간 이용가능,33.4594684,126.4482913,1
제주농업기술센터,50110,G0,G004,Y,N,,06,24시간 이용가능,33.4578616,126.4037977,3
민속자연사박물관,50110,D0,D008,Y,N,,06,24시간 이용가능,33.5064775,126.5301471,1
한라생태숲,50110,D0,D001,Y,N,,06,24시간 이용가능,33.4302234,126.5958506,1
제주특별자치도 인재개발원,50110,A0,A003,Y,N,,06,24시간 이용가능,33.4470542,126.5591788,1
외도부영2차아파트,50110,H0,H001,Y,N,,06,24시간 이용가능,33.4851648,126.4338177,1
교래자연휴양림,50110,D0,D001,Y,N,,06,24시간 이용가능,33.4395856,126.6675249,3
설문대여성문화센터,50110,G0,G004,Y,N,,06,24시간 이용가능,33.4842052,126.5008562,1
봉개동 주민센터,50110,A0,A002,Y,N,,06,24시간 이용가능,33.4915855,126.5949631,1
추자면사무소,50110,A0,A002,Y,N,,06,24시간 이용가능,33.9636935,126.295949,1
자치경찰단,50110,I0,I004,Y,N,,06,24시간 이용가능,33.4848717,126.5440613,1
환경성질환예방관리센터,50110,I0,I003,Y,N,,06,24시간 이용가능,33.486414,126.811116,1
애월도서관,50110,I0,I005,Y,N,,06,24시간 이용가능,33.4631236,126.3312309,1
제주현대미술관,50110,D0,D002,Y,N,,06,24시간 이용가능,33.3397361,126.2657106,2
신천지아파트,50110,H0,H001,Y,N,,06,24시간 이용가능,33.5049508,126.5439029,1
서귀포천지연폭포,50130,D0,D007,N,N,,06,09:00~18:00,33.2447447,126.5597544,1
도남1차e편한세상아파트,50110,H0,H001,Y,N,,06,24시간 이용가능,33.4949748,126.5226164,1
만장굴,50110,D0,D007,N,N,,06,09:00~18:00,33.5291,126.7714308,1
제주종합경기장2,50110,A0,A004,N,N,,06,24시간 이용가능,33.4949885,126.5189264,1
블루렌트카 제주도,50110,H0,H003,Y,N,상황에 따라 변동,04,24시간 이용가능,33.5041002,126.5014242,5
보타리에너지,50110,H0,H003,Y,N,,06,24시간 이용가능,33.40864,126.317386,1
보타리에너지(오름재),50110,H0,H003,Y,N,,05,24시간 이용가능,33.398486,126.326259,1
포레스트사파리,50110,D0,D007,Y,N,,05,24시간 이용가능,33.463075,126.70884,2
유수암주유소,50110,E0,E007,Y,N,,05,24시간 이용가능,33.427569,126.410881,1
그리스박물관,50110,D0,D008,Y,N,,05,24시간 이용가능,33.347946,126.356832,1
CU김녕교차로점,50110,E0,E001,Y,N,,06,24시간 이용가능,33.551221,126.7438,1
금악주유소,50110,E0,E007,Y,N,,06,24시간 이용가능,33.3533358,126.2983901,1
제주담,50110,E0,E006,Y,N,,06,24시간 이용가능,33.4511076,126.7680259,1
와흘을그리다,50110,E0,E005,Y,N,,06,24시간 이용가능,33.4625262,126.6603667,1
마마뜰카페,50130,E0,E005,Y,N,,06,24시간 이용가능,33.3099807,126.3337272,1
한앤솜하우스,50110,E0,E005,Y,N,,06,24시간 이용가능,33.4755212,126.4771929,1
산방산나들목,50130,E0,E006,Y,N,,06,24시간 이용가능,33.2302827,126.3081339,1
제주다와풀빌라,50130,E0,E003,Y,N,,06,24시간 이용가능,33.2423297,126.3681386,1
스놉부티쿠스테이,50130,E0,E003,Y,N,,06,24시간 이용가능,33.2332187,126.3694299,1
파파빌레,50110,E0,E006,Y,N,,06,24시간 이용가능,33.4604749,126.6611223,1
제이이피,50130,E0,E003,Y,N,,06,24시간 이용가능,33.242671,126.535552,1
농업회사법인경덕,50110,D0,D007,Y,N,,06,24시간 이용가능,33.4869322,126.7060525,1
도치돌,50110,E0,E006,Y,N,,06,24시간 이용가능,33.4198248,126.339179,1
동광메밀짬뽕,50130,E0,E006,Y,N,,06,24시간 이용가능,33.3105483,126.3498084,1
대평회센터,50130,E0,E006,Y,N,,06,24시간 이용가능,33.2376824,126.3620591,1
달스테이,50110,E0,E003,Y,N,,06,24시간 이용가능,33.4568869,126.4078767,1
돈내코순두부한림점,50110,E0,E006,Y,N,,06,24시간 이용가능,33.4097051,126.2824973,2
어박사,50110,E0,E006,Y,N,,06,24시간 이용가능,33.4078298,126.257976,2
선래왓,50110,I0,I002,Y,N,,06,24시간 이용가능,33.4582425,126.7086636,1
제주갤럭시호텔,50110,E0,E003,Y,N,,06,24시간 이용가능,33.5031006,126.5124982,1
스퀘어오션타운,50110,H0,H002,Y,N,,05,24시간 이용가능,33.546511,126.65222,2
라온랜드,50110,D0,D007,Y,N,,05,24시간 이용가능,33.355585,126.242011,2
장촌한우마을,50110,E0,E006,Y,N,,05,24시간 이용가능,33.420124,126.338883,1
도노미 한샘영농조합법인,50110,E0,E001,Y,N,,05,24시간 이용가능,33.4295861,126.313339,1
제주코,50110,E0,E006,Y,N,,05,24시간 이용가능,33.372684,126.284578,1
만복흑돼지,50130,E0,E006,Y,N,,05,24시간 이용가능,33.243512,126.327026,1
아만토브펜션,50130,E0,E003,Y,N,,05,24시간 이용가능,33.235836,126.370619,1
캐릭파크,50110,D0,D002,Y,N,,05,24시간 이용가능,33.479712,126.700689,2
과수원피스,50110,E0,E005,Y,N,,05,24시간 이용가능,33.385369,126.227464,1
교래아름가든,50110,E0,E006,Y,N,,05,24시간 이용가능,33.435612,126.678779,1
구구토종닭,50110,E0,E006,Y,N,,05,24시간 이용가능,33.425421,126.674423,1
관통사,50130,I0,I002,Y,N,,05,24시간 이용가능,33.326648,126.826629,1
꽃머채,50110,E0,E003,Y,N,,05,24시간 이용가능,33.418527,126.376817,1
제주안전체험관,50110,D0,D007,Y,N,,05,24시간 이용가능,33.394694,126.372333,2
음부리카페,50110,E0,E005,Y,N,,05,24시간 이용가능,33.352121,126.257607,1
창고내음식점,50130,E0,E006,Y,N,,05,24시간 이용가능,33.267362,126.369285,1
창천리복지회관,50130,A0,A004,Y,N,,05,24시간 이용가능,33.265612,126.368564,1
대자연가든,50110,E0,E006,Y,N,,05,24시간 이용가능,33.5397877,126.675138,1
애월스테이인제주,50110,E0,E003,Y,N,,05,24시간 이용가능,33.4833534,126.3771455,2
애월스테이인제주,50110,E0,E003,Y,N,,04,24시간 이용가능,33.4833534,126.3771455,2
금악정육식당,50110,E0,E006,Y,N,,05,24시간 이용가능,33.3589495,126.2942221,1
한림교회,50110,I0,I002,Y,N,,05,24시간 이용가능,33.4159133,126.2672042,1
성결교회,50130,I0,I002,Y,N,,05,24시간 이용가능,33.2613446,126.5357252,1
자유렌트카,50110,H0,H003,Y,N,,05,24시간 이용가능,33.4981199,126.478865,3
홍대감더덕토종닭,50110,E0,E006,Y,N,,05,24시간 이용가능,33.4671298,126.7735825,1
오픈박스,50110,E0,E001,Y,N,,05,24시간 이용가능,33.5047894,126.5602451,1
벙커하우스,50130,E0,E005,Y,N,,05,24시간 이용가능,33.2405751,126.5191839,1
JDC 리슈빌,50110,B0,B004,Y,N,,05,24시간 이용가능,33.457517,126.5741186,2
JDC 행복주택,50110,B0,B004,Y,N,,05,24시간 이용가능,33.4587486,126.5735796,1
곶자왈칼국수,50110,E0,E006,Y,N,,05,24시간 이용가능,33.4347049,126.6761663,1
메리언 골프장,50110,E0,E004,Y,N,,05,24시간 이용가능,33.4792052,126.4575435,1
YES렌트카,50110,G0,G004,Y,N,,06,24시간 이용가능,33.799874,126.478520,5
YES렌트카,50110,G0,G004,Y,N,,05,24시간 이용가능,33.799874,126.478520,5
교래퐁낭GS,50110,G0,G004,Y,N,,05,24시간 이용가능,33.426106,126.674145,1
성미가든,50110,E0,E006,Y,N,,04,24시간 이용가능,33.437844,126.677031,1
제주 레일파크,50110,D0,D007,Y,N,,05,24시간 이용가능,33.4645856,126.8369222,1
EGON 카페,50130,E0,E005,Y,N,,06,24시간 이용가능,33.439907,126.9182637,1
나모나모카페,50110,E0,E005,Y,N,,06,24시간 이용가능,33.508925827,126.47195921,1
모켄리조트,50110,E0,E003,Y,N,,06,24시간 이용가능,33.304622147,126.18131788,1
상명문화공간,50110,I0,I006,N,N,,06,24시간 이용가능,33.358065531,126.27423310,2
수목원 YJ빌딩,50110,B0,B004,Y,N,,06,24시간 이용가능,33.469874622,126.48464880,3
칠삭갈비,50110,E0,E006,Y,N,,06,24시간 이용가능,33.491621673,126.55046422,1
콩창고,50110,E0,E006,Y,N,,06,24시간 이용가능,33.403940755,126.26382824,1
티라호텔,50130,E0,E003,Y,N,,06,24시간 이용가능,33.442597268,126.91851143,2
한림수협,50110,I0,I008,Y,N,,06,24시간 이용가능,33.412686443,126.25996609,2
휴안스테이호텔,50130,E0,E003,Y,N,,06,24시간 이용가능,33.463099742,126.93367190,1
제주첨단과학단지(엘리트빌딩),50110,A0,A003,N,N,,06,24시간 이용가능,33.452903,126.572552,1
제주첨단과학단지(스마트빌딩),50110,A0,A003,N,N,,06,24시간 이용가능,33.4537316548,126.572534802,1
